Formatted Date,Temperature (C)
2005-12-31 23:00:00,0.58
2006-01-01 00:00:00,1.16
2006-01-01 01:00:00,1.67
2006-01-01 02:00:00,1.71
2006-01-01 03:00:00,1.18
2006-01-01 04:00:00,1.21
2006-01-01 05:00:00,2.22
2006-01-01 06:00:00,2.07
2006-01-01 07:00:00,2.20
2006-01-01 08:00:00,2.73
2006-01-01 09:00:00,2.79
2006-01-01 10:00:00,3.82
2006-01-01 11:00:00,4.91
2006-01-01 12:00:00,6.21
2006-01-01 13:00:00,7.44
2006-01-01 14:00:00,6.95
2006-01-01 15:00:00,5.97
2006-01-01 16:00:00,5.91
2006-01-01 17:00:00,4.96
2006-01-01 18:00:00,5.47
2006-01-01 19:00:00,5.97
2006-01-01 20:00:00,4.93
2006-01-01 21:00:00,5.47
2006-01-01 22:00:00,5.42
2006-01-01 23:00:00,5.42
2006-01-02 00:00:00,2.35
2006-01-02 01:00:00,5.42
2006-01-02 02:00:00,5.91
2006-01-02 03:00:00,5.97
2006-01-02 04:00:00,5.95
2006-01-02 05:00:00,5.95
2006-01-02 06:00:00,6.73
2006-01-02 07:00:00,5.93
2006-01-02 08:00:00,6.94
2006-01-02 09:00:00,6.94
2006-01-02 10:00:00,7.51
2006-01-02 11:00:00,6.99
2006-01-02 12:00:00,7.04
2006-01-02 13:00:00,7.02
2006-01-02 14:00:00,7.02
2006-01-02 15:00:00,6.54
2006-01-02 16:00:00,5.93
2006-01-02 17:00:00,4.87
2006-01-02 18:00:00,3.94
2006-01-02 19:00:00,2.86
2006-01-02 20:00:00,2.81
2006-01-02 21:00:00,2.31
2006-01-02 22:00:00,1.69
2006-01-02 23:00:00,1.69
2006-01-03 00:00:00,1.73
2006-01-03 01:00:00,1.67
2006-01-03 02:00:00,1.67
2006-01-03 03:00:00,1.72
2006-01-03 04:00:00,2.20
2006-01-03 05:00:00,2.20
2006-01-03 06:00:00,2.21
2006-01-03 07:00:00,2.20
2006-01-03 08:00:00,2.22
2006-01-03 09:00:00,2.79
2006-01-03 10:00:00,2.78
2006-01-03 11:00:00,2.85
2006-01-03 12:00:00,2.90
2006-01-03 13:00:00,2.85
2006-01-03 14:00:00,2.83
2006-01-03 15:00:00,2.84
2006-01-03 16:00:00,2.78
2006-01-03 17:00:00,2.24
2006-01-03 18:00:00,2.36
2006-01-03 19:00:00,2.24
2006-01-03 20:00:00,2.24
2006-01-03 21:00:00,2.26
2006-01-03 22:00:00,2.20
2006-01-03 23:00:00,2.20
2006-01-04 00:00:00,1.70
2006-01-04 01:00:00,1.72
2006-01-04 02:00:00,1.72
2006-01-04 03:00:00,1.72
2006-01-04 04:00:00,2.20
2006-01-04 05:00:00,2.20
2006-01-04 06:00:00,2.14
2006-01-04 07:00:00,2.18
2006-01-04 08:00:00,2.20
2006-01-04 09:00:00,2.27
2006-01-04 10:00:00,2.25
2006-01-04 11:00:00,2.78
2006-01-04 12:00:00,2.28
2006-01-04 13:00:00,2.32
2006-01-04 14:00:00,2.80
2006-01-04 15:00:00,2.81
2006-01-04 16:00:00,2.76
2006-01-04 17:00:00,2.76
2006-01-04 18:00:00,2.74
2006-01-04 19:00:00,2.73
2006-01-04 20:00:00,2.22
2006-01-04 21:00:00,2.23
2006-01-04 22:00:00,1.67
2006-01-04 23:00:00,1.67
2006-01-05 00:00:00,2.63
2006-01-05 01:00:00,1.69
2006-01-05 02:00:00,1.16
2006-01-05 03:00:00,1.22
2006-01-05 04:00:00,1.16
2006-01-05 05:00:00,1.16
2006-01-05 06:00:00,2.14
2006-01-05 07:00:00,2.18
2006-01-05 08:00:00,2.22
2006-01-05 09:00:00,2.69
2006-01-05 10:00:00,2.76
2006-01-05 11:00:00,3.84
2006-01-05 12:00:00,3.83
2006-01-05 13:00:00,3.87
2006-01-05 14:00:00,3.87
2006-01-05 15:00:00,3.88
2006-01-05 16:00:00,3.87
2006-01-05 17:00:00,3.94
2006-01-05 18:00:00,3.84
2006-01-05 19:00:00,2.83
2006-01-05 20:00:00,3.29
2006-01-05 21:00:00,2.73
2006-01-05 22:00:00,2.29
2006-01-05 23:00:00,1.81
2006-01-06 00:00:00,2.27
2006-01-06 01:00:00,2.83
2006-01-06 02:00:00,2.83
2006-01-06 03:00:00,2.77
2006-01-06 04:00:00,2.76
2006-01-06 05:00:00,2.76
2006-01-06 06:00:00,2.76
2006-01-06 07:00:00,2.73
2006-01-06 08:00:00,2.73
2006-01-06 09:00:00,2.70
2006-01-06 10:00:00,2.27
2006-01-06 11:00:00,2.27
2006-01-06 12:00:00,2.32
2006-01-06 13:00:00,2.81
2006-01-06 14:00:00,2.76
2006-01-06 15:00:00,2.31
2006-01-06 16:00:00,2.22
2006-01-06 17:00:00,2.22
2006-01-06 18:00:00,2.26
2006-01-06 19:00:00,2.22
2006-01-06 20:00:00,2.22
2006-01-06 21:00:00,2.73
2006-01-06 22:00:00,2.73
2006-01-06 23:00:00,2.73
2006-01-07 00:00:00,0.29
2006-01-07 01:00:00,1.64
2006-01-07 02:00:00,0.53
2006-01-07 03:00:00,1.18
2006-01-07 04:00:00,1.08
2006-01-07 05:00:00,1.08
2006-01-07 06:00:00,1.05
2006-01-07 07:00:00,2.13
2006-01-07 08:00:00,1.16
2006-01-07 09:00:00,1.19
2006-01-07 10:00:00,2.22
2006-01-07 11:00:00,2.24
2006-01-07 12:00:00,2.23
2006-01-07 13:00:00,2.27
2006-01-07 14:00:00,1.71
2006-01-07 15:00:00,1.24
2006-01-07 16:00:00,0.09
2006-01-07 17:00:00,0.12
2006-01-07 18:00:00,-0.73
2006-01-07 19:00:00,-1.02
2006-01-07 20:00:00,-0.53
2006-01-07 21:00:00,-0.03
2006-01-07 22:00:00,-0.04
2006-01-07 23:00:00,-0.04
2006-01-08 00:00:00,-4.09
2006-01-08 01:00:00,-0.65
2006-01-08 02:00:00,-1.16
2006-01-08 03:00:00,-1.95
2006-01-08 04:00:00,-2.86
2006-01-08 05:00:00,-2.81
2006-01-08 06:00:00,-3.48
2006-01-08 07:00:00,-3.76
2006-01-08 08:00:00,-1.16
2006-01-08 09:00:00,0.04
2006-01-08 10:00:00,2.08
2006-01-08 11:00:00,2.68
2006-01-08 12:00:00,2.31
2006-01-08 13:00:00,2.29
2006-01-08 14:00:00,2.24
2006-01-08 15:00:00,1.19
2006-01-08 16:00:00,-1.14
2006-01-08 17:00:00,-1.18
2006-01-08 18:00:00,-2.06
2006-01-08 19:00:00,-2.22
2006-01-08 20:00:00,-2.76
2006-01-08 21:00:00,-2.32
2006-01-08 22:00:00,-3.87
2006-01-08 23:00:00,-4.93
2006-01-09 00:00:00,-1.28
2006-01-09 01:00:00,-4.49
2006-01-09 02:00:00,-4.56
2006-01-09 03:00:00,-5.09
2006-01-09 04:00:00,-5.14
2006-01-09 05:00:00,-6.21
2006-01-09 06:00:00,-6.04
